last_review,number_of_reviews,price
2011-03-31,1,55.0
2011-04-30,14,250.0
2011-05-31,2,249.0
2011-06-30,0,
2011-07-31,0,
2011-08-31,0,
2011-09-30,10,115.0
2011-10-31,0,
2011-11-30,0,
2011-12-31,34,199.5
2012-01-31,2,162.5
2012-02-29,0,
2012-03-31,0,
2012-04-30,0,
2012-05-31,2,65.0
2012-06-30,8,137.5
2012-07-31,2,107.5
2012-08-31,33,186.66666666666666
2012-09-30,43,240.71428571428572
2012-10-31,1,200.0
2012-11-30,72,71.66666666666667
2012-12-31,15,103.25
2013-01-31,8,173.4
2013-02-28,0,
2013-03-31,13,211.5
2013-04-30,11,201.25
2013-05-31,42,157.0
2013-06-30,39,147.25
2013-07-31,11,148.33333333333334
2013-08-31,2,87.5
2013-09-30,26,681.6666666666666
2013-10-31,32,247.5
2013-11-30,21,89.8
2013-12-31,37,119.5
2014-01-31,41,153.63636363636363
2014-02-28,25,47.5
2014-03-31,2,45.0
2014-04-30,128,117.8125
2014-05-31,78,180.76923076923077
2014-06-30,91,199.75
2014-07-31,60,156.44444444444446
2014-08-31,98,165.97368421052633
2014-09-30,82,186.13333333333333
2014-10-31,186,164.34375
2014-11-30,50,130.53333333333333
2014-12-31,91,138.86666666666667
2015-01-31,193,320.3448275862069
2015-02-28,82,519.5625
2015-03-31,67,138.2608695652174
2015-04-30,59,146.62962962962962
2015-05-31,406,138.1917808219178
2015-06-30,307,143.9111111111111
2015-07-31,259,121.79439252336448
2015-08-31,707,136.90049751243782
2015-09-30,830,136.90232558139536
2015-10-31,1228,171.67410714285714
2015-11-30,728,134.44520547945206
2015-12-31,896,158.906103286385
2016-01-31,1518,191.07471264367817
2016-02-29,369,246.54054054054055
2016-03-31,487,115.5
2016-04-30,631,121.15503875968992
2016-05-31,1311,136.5084745762712
2016-06-30,1284,121.32793522267207
2016-07-31,1717,126.64666666666666
2016-08-31,1725,133.95977011494253
2016-09-30,2034,166.93040293040292
2016-10-31,1957,156.9206349206349
2016-11-30,1561,147.24157303370785
2016-12-31,1588,194.72395833333334
2017-01-31,2837,147.9943661971831
2017-02-28,552,136.72727272727272
2017-03-31,942,129.63366336633663
2017-04-30,1423,158.2085889570552
2017-05-31,2643,126.07326007326007
2017-06-30,1971,125.89473684210526
2017-07-31,2792,155.51929824561404
2017-08-31,3053,112.20413436692506
2017-09-30,2896,133.49725274725276
2017-10-31,2788,123.56603773584905
2017-11-30,2107,134.58964143426294
2017-12-31,4518,148.81218274111674
2018-01-31,5692,134.7518115942029
2018-02-28,1229,111.1830985915493
2018-03-31,2213,156.31578947368422
2018-04-30,3494,119.43769968051119
2018-05-31,3901,130.0648379052369
2018-06-30,4963,131.86387434554973
2018-07-31,5409,127.77865612648222
2018-08-31,7214,139.04941860465115
2018-09-30,8322,145.26141732283463
2018-10-31,8964,134.30112044817926
2018-11-30,7709,139.60535714285714
2018-12-31,13245,160.01162790697674
2019-01-31,20750,140.55625
2019-02-28,7215,145.6127659574468
2019-03-31,11307,136.2439024390244
2019-04-30,24828,143.21153846153845
2019-05-31,86465,139.60189445196212
2019-06-30,619567,141.66965703397904
2019-07-31,243262,144.4878306878307
